Clause-11	 : ['contact', 'information', 'provide', 'email', 'ask', 'need', 'response', 'refer', 'phone', 'time', 'number', 'team', 'want', 'concern', 'like', 'contact', 'information', 'provide', 'email', 'ask', 'need', 'response', 'refer', 'phone', 'time', 'number', 'team', 'want', 'concern', 'like', 'close', 'credit', 'request', 'closure', 'want', 'direct_debit', 'balance', 'debit', 'cancel', 'access_advantage', 'open', 'process', 'confirm', 'end', 'reinstate'] 
Clause-12_20	 : ['happy', 'apologise', 'provide', 'unhappy', 'receive', 'poor_service', 'want', 'send', 'feedback', 'service', 'consultant', 'experience', 'feedback_passed', 'team', 'issue', 'point', 'frequent_flyer', 'bonus_points', 'apply', 'black', 'eligible', 'offer', 'credit', 'receive', 'platinum', 'eligible_bonus', 'k_bonus', 'qantas', 'happy', 'close', 'fee', 'charge', 'credit', 'refund', 'annual_fee', 'reverse', 'waive', 'happy', 'want', 'late_payment', 'reimburse', 'pay', 'gwg', 'unhappy', 'year'] 
Clause-13	 : ['send', 'receive', 'email', 'letter', 'request', 'statement', 'statements', 'mail', 'address', 'apologise', 'confirm', 'online', 'form', 'response', 'like', 'fee', 'charge', 'credit', 'refund', 'annual_fee', 'reverse', 'waive', 'happy', 'want', 'late_payment', 'reimburse', 'pay', 'gwg', 'unhappy', 'year', 'service', 'financial_ombudsman', 'provide', 'request', 'receive', 'concern', 'close', 'case', 'com', 'registration', 'email', 'offer', 'state', 'confirm', 'copy'] 
Clause-14a	 : ['fee', 'charge', 'credit', 'refund', 'annual_fee', 'reverse', 'waive', 'happy', 'want', 'late_payment', 'reimburse', 'pay', 'gwg', 'unhappy', 'year', 'point', 'frequent_flyer', 'bonus_points', 'apply', 'black', 'eligible', 'offer', 'credit', 'receive', 'platinum', 'eligible_bonus', 'k_bonus', 'qantas', 'happy', 'close', 'credit', 'reward', 'point', 'rewards_points', 'offer', 'allocate', 'annual_fee', 'rewards_black', 'year', 'receive', 'transfer', 'product', 'days', 'apply', 'rewards_platinum'] 
Clause-14b	 : ['fee', 'charge', 'credit', 'refund', 'annual_fee', 'reverse', 'waive', 'happy', 'want', 'late_payment', 'reimburse', 'pay', 'gwg', 'unhappy', 'year', 'happy', 'apologise', 'provide', 'unhappy', 'receive', 'poor_service', 'want', 'send', 'feedback', 'service', 'consultant', 'experience', 'feedback_passed', 'team', 'issue', 'contact', 'information', 'provide', 'email', 'ask', 'need', 'response', 'refer', 'phone', 'time', 'number', 'team', 'want', 'concern', 'like'] 
Clause-15	 : ['happy', 'apologise', 'provide', 'unhappy', 'receive', 'poor_service', 'want', 'send', 'feedback', 'service', 'consultant', 'experience', 'feedback_passed', 'team', 'issue', 'fee', 'charge', 'credit', 'refund', 'annual_fee', 'reverse', 'waive', 'happy', 'want', 'late_payment', 'reimburse', 'pay', 'gwg', 'unhappy', 'year', 'branch', 'staff', 'close', 'manager', 'atm', 'open', 'apologise', 'closure', 'happy', 'visit', 'feedback_passed', 'want', 'staff_member', 'provide', 'feedback'] 
Clause-16	 : ['fee', 'charge', 'credit', 'refund', 'annual_fee', 'reverse', 'waive', 'happy', 'want', 'late_payment', 'reimburse', 'pay', 'gwg', 'unhappy', 'year', 'happy', 'apologise', 'provide', 'unhappy', 'receive', 'poor_service', 'want', 'send', 'feedback', 'service', 'consultant', 'experience', 'feedback_passed', 'team', 'issue', 'branch', 'staff', 'close', 'manager', 'atm', 'open', 'apologise', 'closure', 'happy', 'visit', 'feedback_passed', 'want', 'staff_member', 'provide', 'feedback'] 
Clause-17	 : ['fee', 'charge', 'credit', 'refund', 'annual_fee', 'reverse', 'waive', 'happy', 'want', 'late_payment', 'reimburse', 'pay', 'gwg', 'unhappy', 'year', 'fund', 'transfer', 'process', 'receive', 'days', 'payment', 'request', 'happy', 'credit', 'international', 'allow_business', 'money', 'confirm', 'business_days', 'reimburse', 'tell', 'money', 'time', 'phone', 'need', 'try', 'work', 'come', 'ask', 'day', 'inform', 'happen', 'ring', 'issue', 'speak'] 
Clause-18	 : ['happy', 'apologise', 'provide', 'unhappy', 'receive', 'poor_service', 'want', 'send', 'feedback', 'service', 'consultant', 'experience', 'feedback_passed', 'team', 'issue', 'branch', 'staff', 'close', 'manager', 'atm', 'open', 'apologise', 'closure', 'happy', 'visit', 'feedback_passed', 'want', 'staff_member', 'provide', 'feedback', 'travel', 'bonus', 'overdraw', 'online_saver', 'offer', 'cause', 'apply', 'apologise', 'resolve', 'credit', 'open', 'progress_saver', 'lose', 'educate', 'unhappy'] 
Clause-18.1	 : ['point', 'frequent_flyer', 'bonus_points', 'apply', 'black', 'eligible', 'offer', 'credit', 'receive', 'platinum', 'eligible_bonus', 'k_bonus', 'qantas', 'happy', 'close', 'fee', 'charge', 'credit', 'refund', 'annual_fee', 'reverse', 'waive', 'happy', 'want', 'late_payment', 'reimburse', 'pay', 'gwg', 'unhappy', 'year', 'travel', 'bonus', 'overdraw', 'online_saver', 'offer', 'cause', 'apply', 'apologise', 'resolve', 'credit', 'open', 'progress_saver', 'lose', 'educate', 'unhappy'] 
